"[1.613074541091919, -0.0008644314366392791]",|,"[1.6052290201187134, 0.0007093567401170731]",|,[ 0.00784552 -0.00157379]
"[1.6205565929412842, -0.00074286776361987]",|,"[1.6215851306915283, -0.003643808886408806]",|,[-0.00102854  0.00290094]
"[1.6209936141967773, 0.00012412838987074792]",|,"[1.6257981061935425, -0.004082916304469109]",|,[-0.00480449  0.00420704]
"[1.6222177743911743, 0.005634978413581848]",|,"[1.627847671508789, 0.003016473725438118]",|,[-0.0056299  0.0026185]
"[1.6184751987457275, 0.01472505647689104]",|,"[1.625227451324463, 0.013885440304875374]",|,[-0.00675225  0.00083962]
"[1.6162265539169312, 0.02635182812809944]",|,"[1.6193488836288452, 0.02326423116028309]",|,[-0.00312233  0.0030876 ]
"[1.6197354793548584, 0.03286096826195717]",|,"[1.6224886178970337, 0.0300449151545763]",|,[-0.00275314  0.00281605]
"[1.6313565969467163, 0.041877441108226776]",|,"[1.6310460567474365, 0.04025381803512573]",|,[0.00031054 0.00162362]
"[1.641045331954956, 0.046000149101018906]",|,"[1.6394959688186646, 0.04387032985687256]",|,[0.00154936 0.00212982]
"[1.6462255716323853, 0.046867869794368744]",|,"[1.643537998199463, 0.04429638385772705]",|,[0.00268757 0.00257149]
"[1.652113676071167, 0.04139731079339981]",|,"[1.650161862373352, 0.03199654817581177]",|,[0.00195181 0.00940076]
"[1.6562045812606812, 0.004087668377906084]",|,"[1.6468318700790405, 0.005652369931340218]",|,[ 0.00937271 -0.0015647 ]
"[1.6540666818618774, -0.02301071211695671]",|,"[1.6394386291503906, -0.036872267723083496]",|,[0.01462805 0.01386156]
"[1.6489028930664062, -0.06771518290042877]",|,"[1.635759949684143, -0.0669635534286499]",|,[ 0.01314294 -0.00075163]
"[1.644226312637329, -0.1124214380979538]",|,"[1.631264090538025, -0.1273026466369629]",|,[0.01296222 0.01488121]
"[1.638034462928772, -0.17211008071899414]",|,"[1.6269745826721191, -0.17275303602218628]",|,[0.01105988 0.00064296]
"[1.6334218978881836, -0.21683315932750702]",|,"[1.6233373880386353, -0.2186766266822815]",|,[0.01008451 0.00184347]
"[1.6303300857543945, -0.2466582953929901]",|,"[1.6192330121994019, -0.26370251178741455]",|,[0.01109707 0.01704422]
"[1.6257448196411133, -0.2914322316646576]",|,"[1.614951252937317, -0.30831098556518555]",|,[0.01079357 0.01687875]
"[1.6211044788360596, -0.3362015187740326]",|,"[1.6125041246414185, -0.33847910165786743]",|,[0.00860035 0.00227758]
"[1.6164617538452148, -0.38094809651374817]",|,"[1.6068156957626343, -0.39765918254852295]",|,[0.00964606 0.01671109]
"[1.6102628707885742, -0.4406135082244873]",|,"[1.602651596069336, -0.44198793172836304]",|,[0.00761127 0.00137442]
"[1.6071927547454834, -0.4704523980617523]",|,"[1.5989983081817627, -0.4864986538887024]",|,[0.00819445 0.01604626]
"[1.6025575399398804, -0.5151978135108948]",|,"[1.5950099229812622, -0.530632734298706]",|,[0.00754762 0.01543492]
"[1.596428632736206, -0.5748569965362549]",|,"[1.5906938314437866, -0.5745251178741455]",|,[ 0.0057348  -0.00033188]
"[1.5933561325073242, -0.6046915650367737]",|,"[1.5871098041534424, -0.6186707615852356]",|,[0.00624633 0.0139792 ]
"[1.5871663093566895, -0.664341390132904]",|,"[1.5828217267990112, -0.6625766158103943]",|,[ 0.00434458 -0.00176477]
"[1.5840376615524292, -0.6941651105880737]",|,"[1.579306721687317, -0.7067286372184753]",|,[0.00473094 0.01256353]
"[1.5793921947479248, -0.7389305233955383]",|,"[1.576684832572937, -0.7361080646514893]",|,[ 0.00270736 -0.00282246]
"[1.573232889175415, -0.7985832691192627]",|,"[1.5713120698928833, -0.7949807047843933]",|,[ 0.00192082 -0.00360256]
"[1.5701055526733398, -0.8284157514572144]",|,"[1.567953109741211, -0.8394145965576172]",|,[0.00215244 0.01099885]
"[1.565488338470459, -0.8731619715690613]",|,"[1.5638457536697388, -0.8838880062103271]",|,[0.00164258 0.01072603]
"[1.5593416690826416, -0.9328614473342896]",|,"[1.560512900352478, -0.9286428093910217]",|,[-0.00117123 -0.00421864]
"[1.5562803745269775, -0.9626830816268921]",|,"[1.5564537048339844, -0.9735091924667358]",|,[-0.00017333  0.01082611]
"[1.5500919818878174, -1.0223439931869507]",|,"[1.5530818700790405, -1.0186429023742676]",|,[-0.00298989 -0.00370109]
"[1.5469858646392822, -1.052185297012329]",|,"[1.5490370988845825, -1.0639158487319946]",|,[-0.00205123  0.01173055]
"[1.5423908233642578, -1.0969253778457642]",|,"[1.545735239982605, -1.1094332933425903]",|,[-0.00334442  0.01250792]
"[1.5377428531646729, -1.1416620016098022]",|,"[1.541581153869629, -1.1549606323242188]",|,[-0.0038383   0.01329863]
"[1.531548023223877, -1.201346755027771]",|,"[1.5376096963882446, -1.2005904912948608]",|,[-0.00606167 -0.00075626]
"[1.5269379615783691, -1.246065616607666]",|,"[1.534192442893982, -1.2462742328643799]",|,[-0.00725448  0.00020862]
"[1.5238128900527954, -1.275923490524292]",|,"[1.53022038936615, -1.2918108701705933]",|,[-0.0064075   0.01588738]
"[1.5176608562469482, -1.3355979919433594]",|,"[1.525639295578003, -1.3370412588119507]",|,[-0.00797844  0.00144327]
"[1.513016700744629, -1.380321741104126]",|,"[1.5220236778259277, -1.3820983171463013]",|,[-0.00900698  0.00177658]
"[1.5099108219146729, -1.4101417064666748]",|,"[1.518708348274231, -1.4117053747177124]",|,[-0.00879753  0.00156367]
"[1.5037380456924438, -1.46981680393219]",|,"[1.5127156972885132, -1.4702858924865723]",|,[-0.00897765  0.00046909]
"[1.500664472579956, -1.499618411064148]",|,"[1.5085692405700684, -1.5134364366531372]",|,[-0.00790477  0.01381803]
"[1.4944790601730347, -1.5593234300613403]",|,"[1.5032322406768799, -1.5553892850875854]",|,[-0.00875318 -0.00393414]
"[1.4913780689239502, -1.5891847610473633]",|,"[1.4991880655288696, -1.5948200225830078]",|,[-0.00781     0.00563526]
"[1.4883729219436646, -1.617058515548706]",|,"[1.4977890253067017, -1.6136354207992554]",|,[-0.0094161  -0.00342309]
"[1.4877846240997314, -1.6198108196258545]",|,"[1.499853491783142, -1.6235324144363403]",|,[-0.01206887  0.00372159]
"[1.4899883270263672, -1.6217190027236938]",|,"[1.5028706789016724, -1.6259565353393555]",|,[-0.01288235  0.00423753]
"[1.4956992864608765, -1.6234019994735718]",|,"[1.5109992027282715, -1.6240204572677612]",|,[-0.01529992  0.00061846]
"[1.5097185373306274, -1.6224323511123657]",|,"[1.5203189849853516, -1.6218416690826416]",|,[-0.01060045 -0.00059068]
"[1.5152243375778198, -1.6267852783203125]",|,"[1.527649998664856, -1.6280821561813354]",|,[-0.01242566  0.00129688]
"[1.5227322578430176, -1.6393966674804688]",|,"[1.5308619737625122, -1.6355323791503906]",|,[-0.00812972 -0.00386429]
