New dataset
Velocidade | aceleração angular | Posição (RSS) | time | Posição real
0.0 | -0.01842399405880319 | [1.5205638910021073, 1.340440462959624] | 1672708998.3695822 | [1.520564079284668, 1.3404405117034912]
0.0 | -0.008998186572528277 | [1.5139915756815188, 1.4000442359781458] | 1672708998.5244958 | [1.515621542930603, 1.385150671005249]
0.0 | 0.008629609501670913 | [1.5090296313160485, 1.4447391091995965] | 1672708998.6801012 | [1.5106651782989502, 1.4298667907714844]
0.0 | 0.01496494004509293 | [1.5057269995068192, 1.4745512729928762] | 1672708998.8177323 | [1.5057271718978882, 1.4745513200759888]
0.0 | 0.0062098524757851865 | [1.499120420781486, 1.534191202268948] | 1672708999.016293 | [1.4991205930709839, 1.5341912508010864]
0.0 | 0.0002313546348911767 | [1.494141316769984, 1.578908718631074] | 1672708999.17487 | [1.4941412210464478, 1.5789086818695068]
0.0 | 0.16049278903209901 | [1.490196707796748, 1.6160128189304306] | 1672708999.3321278 | [1.490196704864502, 1.6160128116607666]
0.0 | 2.2709931749738703 | [1.489404947420217, 1.6238622433482264] | 1672708999.468226 | [1.4894050359725952, 1.6238622665405273]
0.0 | 21.726417345355774 | [1.4922302077037757, 1.626422620336022] | 1672708999.6241307 | [1.491077184677124, 1.6255203485488892]
0.0 | 43.533906730563764 | [1.4955503139002841, 1.6277280839238353] | 1672708999.7861712 | [1.4955503940582275, 1.6277281045913696]
0.0 | 81.69350761576503 | [1.50545454244171, 1.6260595402617748] | 1672708999.9208403 | [1.5054545402526855, 1.6260595321655273]
0.0 | 86.72153726832425 | [1.5179177922301899, 1.6314617183161628] | 1672709000.074022 | [1.5154244899749756, 1.6287378072738647]
0.0 | 91.45278815423356 | [1.5230651882325645, 1.641825364310112] | 1672709000.231169 | [1.5230650901794434, 1.6418253183364868]
0.0 | 119.24601096955591 | [1.5262183192939949, 1.6527989822981661] | 1672709000.3747885 | [1.5252840518951416, 1.6491243839263916]
0.0 | 76.3816519238477 | [1.5276202208573726, 1.6599477248608001] | 1672709000.5144515 | [1.5276203155517578, 1.6599477529525757]
0.0 | -1990.786140508736 | [1.5278237351931456, 1.6682781745373418] | 1672709000.6707463 | [1.527823567390442, 1.6682780981063843]
0.0 | 73.9213767676543 | [1.5262358991585365, 1.6794609251145327] | 1672709000.828924 | [1.5267006158828735, 1.6762346029281616]
0.0 | 86.04275182551079 | [1.525745679004542, 1.6861546954966258] | 1672709000.9690235 | [1.5246856212615967, 1.6857259273529053]
0.0 | 53.671897956073266 | [1.5210024671639164, 1.6913832031797646] | 1672709001.1236925 | [1.5210022926330566, 1.6913831233978271]
0.0 | 44.10465534751383 | [1.495761157801501, 1.6785638417069204] | 1672709001.2813601 | [1.50397527217865, 1.684295892715454]
0.0 | 28.93144621451551 | [1.4776794097494625, 1.662847140473268] | 1672709001.4190745 | [1.4776794910430908, 1.6628471612930298]
0.0 | 1.8262040174888463 | [1.4370601467274073, 1.6198901918915147] | 1672709001.5752773 | [1.4472856521606445, 1.630925178527832]
0.0 | -0.15201239501335953 | [1.4061033587202376, 1.5872748152142155] | 1672709001.727915 | [1.4164483547210693, 1.5981239080429077]
0.0 | 0.029204181874856502 | [1.3854229530520286, 1.5655727402857424] | 1672709001.8661184 | [1.385422945022583, 1.565572738647461]
0.0 | 0.009312967438261485 | [1.344054360210279, 1.522104382887147] | 1672709002.0209088 | [1.3543916940689087, 1.5329681634902954]
