"[-0.42465072870254517, -0.1921939104795456]",|,"[-0.4412444233894348, -0.1870034784078598]",|,[ 0.01659369 -0.00519043]
"[-0.3635196089744568, -0.1487354338169098]",|,"[-0.3813619613647461, -0.14434662461280823]",|,[ 0.01784235 -0.00438881]
"[-0.3024829924106598, -0.10527794063091278]",|,"[-0.3151323199272156, -0.10158710926771164]",|,[ 0.01264933 -0.00369083]
"[-0.24138113856315613, -0.061814017593860626]",|,"[-0.2530752420425415, -0.058882758021354675]",|,[ 0.0116941  -0.00293126]
"[-0.18028569221496582, -0.01832314021885395]",|,"[-0.19794853031635284, -0.01657729595899582]",|,[ 0.01766284 -0.00174584]
"[-0.1191740408539772, 0.025136465206742287]",|,"[-0.13708554208278656, 0.026036977767944336]",|,[ 0.0179115  -0.00090051]
"[-0.05804694443941116, 0.06861292570829391]",|,"[-0.07110248506069183, 0.0694829672574997]",|,[ 0.01305554 -0.00087004]
"[0.0030390264000743628, 0.11209399998188019]",|,"[-0.011266827583312988, 0.11266936361789703]",|,[ 0.01430585 -0.00057536]
"[0.06418058276176453, 0.15552514791488647]",|,"[0.06634095311164856, 0.17181743681430817]",|,[-0.00216037 -0.01629229]
"[0.12522420287132263, 0.1990007907152176]",|,"[0.10835064202547073, 0.20852436125278473]",|,[ 0.01687356 -0.00952357]
"[0.1863042116165161, 0.2424602210521698]",|,"[0.18047791719436646, 0.2519185543060303]",|,[ 0.00582629 -0.00945833]
"[0.2473929226398468, 0.2858997881412506]",|,"[0.23900113999843597, 0.2917267680168152]",|,[ 0.00839178 -0.00582698]
"[0.30845731496810913, 0.32941439747810364]",|,"[0.293086975812912, 0.3335992693901062]",|,[ 0.01537034 -0.00418487]
"[0.3695584237575531, 0.37290164828300476]",|,"[0.35963594913482666, 0.37860924005508423]",|,[ 0.00992247 -0.00570759]
"[0.4306393265724182, 0.4163855016231537]",|,"[0.42104649543762207, 0.427304744720459]",|,[ 0.00959283 -0.01091924]
"[0.49172449111938477, 0.45984944701194763]",|,"[0.48404622077941895, 0.46914172172546387]",|,[ 0.00767827 -0.00929227]
"[0.55275559425354, 0.503277063369751]",|,"[0.5433931946754456, 0.5147467255592346]",|,[ 0.0093624  -0.01146966]
"[0.6138502359390259, 0.5466898679733276]",|,"[0.6072819828987122, 0.5590642690658569]",|,[ 0.00656825 -0.0123744 ]
"[0.6749700307846069, 0.5902107954025269]",|,"[0.669971764087677, 0.6034780740737915]",|,[ 0.00499827 -0.01326728]
"[0.7157204151153564, 0.6191824078559875]",|,"[0.7314450144767761, 0.6484088897705078]",|,[-0.0157246  -0.02922648]
"[0.7972016930580139, 0.6771529912948608]",|,"[0.7925832867622375, 0.6905858516693115]",|,[ 0.00461841 -0.01343286]
"[0.837912917137146, 0.7061187028884888]",|,"[0.8537237644195557, 0.7330121397972107]",|,[-0.01581085 -0.02689344]
"[0.9194145202636719, 0.7640339136123657]",|,"[0.9137831330299377, 0.7744362950325012]",|,[ 0.00563139 -0.01040238]
"[0.9804942011833191, 0.8075456619262695]",|,"[0.9741716384887695, 0.8158853054046631]",|,[ 0.00632256 -0.00833964]
"[1.0415904521942139, 0.8509284257888794]",|,"[1.035312533378601, 0.8578798174858093]",|,[ 0.00627792 -0.00695139]
"[1.102651596069336, 0.8944121599197388]",|,"[1.0948747396469116, 0.8977519869804382]",|,[ 0.00777686 -0.00333983]
"[1.1637320518493652, 0.9378812909126282]",|,"[1.1574550867080688, 0.9403136372566223]",|,[ 0.00627697 -0.00243235]
"[1.224839448928833, 0.9813849329948425]",|,"[1.2161483764648438, 0.9804027676582336]",|,[0.00869107 0.00098217]
"[1.285959243774414, 1.0248916149139404]",|,"[1.281294584274292, 1.0241689682006836]",|,[0.00466466 0.00072265]
