"[-0.0011512116761878133, 2.1075018594274297e-05]","[0.10529738105847089, -0.011838324334437818]","[-0.1064485927346587, 0.011859399353032093]"
"[-0.02985108271241188, 0.00021034599922131747]","[-0.43429060434477285, 0.0020938635737778096]","[0.40443952163236097, -0.0018835175745564921]"
"[-0.0919889360666275, 0.0003724564448930323]","[-0.8930223535219626, 0.016014332160517526]","[0.8010334174553351, -0.015641875715624493]"
"[-0.1670054793357849, 0.0011356824543327093]","[-0.5636009423876791, 0.07956774834646359]","[0.3965954630518942, -0.07843206589213088]"
"[-0.24194291234016418, 0.0019852030090987682]","[-0.5498089135511403, 0.06738404591977665]","[0.30786600121097607, -0.06539884291067788]"
"[-0.3169386088848114, 0.0028662525583058596]","[-0.6268177446716077, 0.07353402104802523]","[0.30987913578679627, -0.07066776848971937]"
"[-0.3919190466403961, 0.003646544413641095]","[-0.6701233915137814, 0.05718756303814682]","[0.2782043448733853, -0.05354101862450573]"
"[-0.46692055463790894, 0.004463530145585537]","[-0.6838305394360333, 0.11239207707252802]","[0.2169099847981244, -0.10792854692694248]"
"[-0.541890025138855, 0.005316772498190403]","[-0.6917443651269655, 0.02392996161578615]","[0.14985433998811049, -0.018613189117595748]"
"[-0.6168746948242188, 0.00611733878031373]","[-0.7763485886607456, 0.040392769172032196]","[0.15947389383652688, -0.034275430391718466]"
"[-0.6918342113494873, 0.006901479326188564]","[-0.83525056846804, 0.040031991549488485]","[0.14341635711855272, -0.03313051222329992]"
"[-0.7668344378471375, 0.0077242604456841946]","[-0.8734483131907939, 0.0677054312171934]","[0.1066138753436564, -0.059981170771509204]"
"[-0.8418142199516296, 0.008530108258128166]","[-0.9210648068337071, 0.05956452671633523]","[0.07925058688207742, -0.05103441845820706]"
"[-0.9167863726615906, 0.009336670860648155]","[-0.9497690856110661, 0.08506288448387847]","[0.03298271294947552, -0.07572621362323032]"
"[-0.991771399974823, 0.010128569789230824]","[-0.9636884885879676, 0.05114146281835682]","[-0.02808291138685537, -0.041012893029125995]"
"[-1.066726803779602, 0.010923752561211586]","[-1.0287408230931239, 0.05386765856476919]","[-0.03798598068647818, -0.0429439060035576]"
"[-1.1417213678359985, 0.01174025610089302]","[-1.0855191172228762, 0.08688617456301684]","[-0.05620225061312234, -0.07514591846212382]"
"[-1.216675043106079, 0.012544171884655952]","[-1.098119904106565, 0.04245056613314898]","[-0.11855513899951409, -0.029906394248493028]"
"[-1.2916687726974487, 0.013329602777957916]","[-1.1580652472010304, 0.0847537222613542]","[-0.1336035254964183, -0.07142411948339629]"
"[-1.3666409254074097, 0.014174777083098888]","[-1.2395916155936795, 0.12176252961795844]","[-0.1270493098137302, -0.10758775253485955]"
"[-1.4416099786758423, 0.014969567768275738]","[-1.2517597479991867, 0.11398141753704157]","[-0.18985023067665563, -0.09901184976876583]"
"[-1.5166056156158447, 0.015765825286507607]","[-1.234629519856213, 0.09063723678827496]","[-0.2819760957596318, -0.07487141150176735]"
"[-1.5915656089782715, 0.01659489795565605]","[-1.3662002155240964, 0.11102108396824593]","[-0.22536539345417506, -0.09442618601258988]"
"[-1.6586759090423584, 0.01735987327992916]","[-1.356234113130048, -0.012284155150244013]","[-0.30244179591231046, 0.029644028430173174]"
"[-1.6963926553726196, 0.017602693289518356]","[-1.3538316409209055, 0.030637805223273265]","[-0.34256101445171416, -0.013035111933754909]"
"[-1.7273088693618774, 0.016619127243757248]","[-1.4153060083712379, 0.020350090626210387]","[-0.31200286099063956, -0.003730963382453139]"
"[-1.7519842386245728, 0.014372753910720348]","[-1.4268387095220718, 0.06946793314314412]","[-0.32514552910250094, -0.05509517923242377]"
"[-1.7670505046844482, 0.01042857114225626]","[-1.3963489601174206, 0.020372546153560135]","[-0.37070154456702764, -0.009943975011303875]"
"[-1.7729370594024658, 0.0017676878487691283]","[-1.393865971965941, -0.042622427497379316]","[-0.37907108743652485, 0.044390115346148444]"
"[-1.7801412343978882, -0.006843202747404575]","[-1.439612388559374, 0.022398061758347826]","[-0.3405288458385143, -0.0292412645057524]"
"[-1.7908779382705688, -0.011195960454642773]","[-1.4503960502378985, 0.0024549063228198054]","[-0.3404818880326703, -0.013650866777462578]"
"[-1.801302194595337, -0.01282753050327301]","[-1.4200787605987608, 0.012633521953298468]","[-0.3812234339965761, -0.02546105245657148]"
"[-1.8087774515151978, -0.01235256902873516]","[-1.5037727562078391, 0.07756071309661573]","[-0.30500469530735863, -0.0899132821253509]"
"[-1.8140321969985962, 0.0013411592226475477]","[-1.4960816998532251, 0.050016765494283626]","[-0.31795049714537105, -0.04867560627163608]"
"[-1.813735008239746, 0.04489394277334213]","[-1.4370771762933965, -0.020464951825052875]","[-0.3766578319463496, 0.065358894598395]"
"[-1.80181884765625, 0.1112004742026329]","[-1.4388930102292496, 0.05501620937379732]","[-0.36292583742700035, 0.05618426482883558]"
"[-1.7850288152694702, 0.18430782854557037]","[-1.4560947586343467, 0.10735502760329824]","[-0.32893405663512354, 0.07695280094227214]"
"[-1.7686278820037842, 0.2575075030326843]","[-1.430011651607126, 0.09466339692841583]","[-0.3386162303966582, 0.1628441061042685]"
"[-1.7522271871566772, 0.33065786957740784]","[-1.4872198701987211, 0.21682163665559892]","[-0.2650073169579561, 0.11383623292180892]"
"[-1.7358747720718384, 0.403786838054657]","[-1.3710547420924475, 0.2388580913162588]","[-0.3648200299793909, 0.1649287467383982]"
"[-1.7194744348526, 0.476952463388443]","[-1.3642217673596997, 0.21610122180004682]","[-0.3552526674929004, 0.2608512415883962]"
"[-1.7030664682388306, 0.5501205921173096]","[-1.4745522917248994, 0.343139122186387]","[-0.22851417651393113, 0.2069814699309226]"
"[-1.686586618423462, 0.6232738494873047]","[-1.4570262467021289, 0.3738590757021697]","[-0.22956037172133303, 0.249414773785135]"
"[-1.6701910495758057, 0.6964584589004517]","[-1.4275512224641376, 0.3457806351167879]","[-0.2426398271116681, 0.35067782378366374]"
"[-1.6537835597991943, 0.7696216106414795]","[-1.3862790233059252, 0.4459537844805181]","[-0.2675045364932691, 0.3236678261609614]"
"[-1.637336015701294, 0.8427795171737671]","[-1.3517512340255213, 0.4882247846526513]","[-0.2855847816757726, 0.3545547325211158]"
"[-1.620882272720337, 0.9159259796142578]","[-1.340168591601595, 0.5131983910520599]","[-0.28071368111874184, 0.4027275885621979]"
"[-1.6044509410858154, 0.9890962839126587]","[-1.3901712108143, 0.5481071756211302]","[-0.21427973027151537, 0.4409891082915285]"
"[-1.5880318880081177, 1.0622508525848389]","[-1.3497085847879433, 0.5904540130732655]","[-0.23832330322017437, 0.47179683951157336]"
"[-1.5715779066085815, 1.1354091167449951]","[-1.3055027647685509, 0.6011328616284648]","[-0.26607514184003067, 0.5342762551165303]"
"[-1.5551669597625732, 1.2086106538772583]","[-1.2957239901118556, 0.654762053743505]","[-0.25944296965071767, 0.5538486001337533]"
"[-1.538730263710022, 1.2817937135696411]","[-1.2701414350097309, 0.6924590872694856]","[-0.2685888287002911, 0.5893346263001555]"
"[-1.522255778312683, 1.354926347732544]","[-1.247683189294677, 0.6978283124956189]","[-0.2745725890180062, 0.657098035236925]"
"[-1.5058339834213257, 1.4280822277069092]","[-1.2013795814973431, 0.723690885917573]","[-0.30445440192398254, 0.7043913417893362]"
"[-1.48934805393219, 1.5012620687484741]","[-1.3563589962543356, 0.8396498987646749]","[-0.1329890576778543, 0.6616121699837992]"
