"[0.0011504640569910407, -4.884184818365611e-06]","[-0.0288303368359501, -0.030882298666663165]","[0.02998080089294114, 0.0308774144818448]"
"[0.029799262061715126, 0.0004132298636250198]","[-0.0288303368359501, -0.030882298666663165]","[0.058629598897665225, 0.031295528530288184]"
"[0.07482319325208664, 0.00039174951962195337]","[0.0815386879831231, -0.00035492497678057955]","[-0.006715494731036456, 0.0007466744964025329]"
"[0.11980675160884857, 0.0002746202808339149]","[0.053980803951265574, 0.013319070735256906]","[0.065825947657583, -0.013044450454422991]"
"[0.16476751863956451, 0.0001571024622535333]","[0.06652781936203717, 0.015244484781438347]","[0.09823969927752735, -0.015087382319184814]"
"[0.20977739989757538, 5.892593617318198e-05]","[0.1153259498215578, 0.016061750249592353]","[0.09445145007601757, -0.01600282431341917]"
"[0.25476354360580444, -2.0600864445441402e-05]","[0.1420612411706107, 0.010309658539136332]","[0.11270230243519375, -0.010330259403581774]"
"[0.2997526228427887, -0.00011104126315331087]","[0.12112004486522115, 0.04471473046955905]","[0.17863257797756754, -0.04482577173271236]"
"[0.34472140669822693, -0.00020003595273010433]","[0.15559964226386078, 0.022503938855041067]","[0.18912176443436615, -0.02270397480777117]"
"[0.3897213637828827, -0.0002817643398884684]","[0.22155695171118872, 0.019202073934985617]","[0.16816441207169397, -0.019483838274874085]"
"[0.4346742630004883, -0.0003795512893702835]","[0.18743825845601092, -0.026252830273043065]","[0.24723600454447736, 0.02587327898367278]"
"[0.4796740412712097, -0.0004981300444342196]","[0.23732198149612055, 0.012880998069295227]","[0.24235205977508917, -0.013379128113729447]"
"[0.5246403813362122, -0.0005986797623336315]","[0.28764493178322925, 0.0064557404740730046]","[0.2369954495529829, -0.007054420236406636]"
"[0.5696264505386353, -0.000707947532646358]","[0.28855400815231924, 0.015001760486355514]","[0.281072442386316, -0.015709708019001872]"
"[0.6146286725997925, -0.0007984978146851063]","[0.32994489935539856, -0.00930583126443235]","[0.2846837732443939, 0.008507333449747244]"
"[0.6596022248268127, -0.0009017153643071651]","[0.31104776980426996, -0.010441068682104595]","[0.3485544550225428, 0.00953935331779743]"
"[0.7046012282371521, -0.0009937596041709185]","[0.3146969636398473, 0.02286951292107206]","[0.3899042645973048, -0.02386327252524298]"
"[0.7495748400688171, -0.0010980189545080066]","[0.37533427652951495, 0.025733896681094603]","[0.3742405635393022, -0.02683191563560261]"
"[0.794575572013855, -0.0011807635892182589]","[0.40452095799161286, -0.020936052729458157]","[0.3900546140222421, 0.0197552891402399]"
"[0.839577317237854, -0.0012879623100161552]","[0.4677597959246145, -0.005059688107270782]","[0.37181752131323953, 0.003771725797254627]"
"[0.8845615386962891, -0.001383049413561821]","[0.48684139657674763, -0.011423227350082098]","[0.39772014211954143, 0.010040177936520277]"
"[0.914527416229248, -0.0014245033962652087]","[0.46249812996852413, 0.0026229714073119567]","[0.4520292862607239, -0.0040474748035771654]"
"[0.9745250940322876, -0.0015386726008728147]","[0.5358533582961855, -0.02688758121843858]","[0.4386717357361021, 0.025348908617565766]"
"[1.0045139789581299, -0.0016127038979902864]","[0.47677974040587723, 0.006695219898313544]","[0.5277342385522527, -0.00830792379630383]"
"[1.0645010471343994, -0.001764244050718844]","[0.4956494237039233, 0.007397102057379194]","[0.5688516234304761, -0.009161346108098038]"
"[1.1094776391983032, -0.0018486598273739219]","[0.6215553358810889, -0.003121059401662258]","[0.4879223033172143, 0.001272399574288336]"
"[1.1544872522354126, -0.0019441826734691858]","[0.5777723472319242, 0.0030777052659278284]","[0.5767149050034884, -0.005021887939397014]"
"[1.199468970298767, -0.0020479403901845217]","[0.6051354985714145, 0.03840827490567139]","[0.5943334717273526, -0.04045621529585591]"
"[1.244454026222229, -0.002162396442145109]","[0.7017968936765829, 0.027722221626979043]","[0.5426571325456461, -0.029884618069124153]"
"[1.2894573211669922, -0.002272331388667226]","[0.6883313187100784, 0.014892380981974707]","[0.6011260024569138, -0.017164712370641932]"
"[1.3344427347183228, -0.002396779600530863]","[0.7115187937141241, 0.01628903718237394]","[0.6229239410041987, -0.018685816782904804]"
"[1.3794127702713013, -0.0025151870213449]","[0.6670016426522882, 0.057181251130398056]","[0.712411127619013, -0.059696438151742956]"
"[1.4244050979614258, -0.002615052741020918]","[0.7189367552169147, -0.011931413061339071]","[0.7054683427445111, 0.009316360320318153]"
"[1.4693920612335205, -0.002708608517423272]","[0.735031306852366, 0.004360317620834039]","[0.7343607543811546, -0.0070689261382573115]"
"[1.5143624544143677, -0.002789675025269389]","[0.842960826198318, 0.034920299241860714]","[0.6714016282160497, -0.0377099742671301]"
"[1.5593317747116089, -0.0028945680242031813]","[0.8852661959693905, 0.016373836665512412]","[0.6740655787422184, -0.019268404689715593]"
"[1.6043033599853516, -0.002991311950609088]","[0.8470784619352091, -0.010597945912325468]","[0.7572248980501425, 0.00760663396171638]"
"[1.631839394569397, -0.0031635728664696217]","[0.8524859526077652, 0.030248202473248942]","[0.7793534419616318, -0.033411775339718564]"
"[1.6337859630584717, -0.003066434059292078]","[0.882976135625632, -0.014457287701951909]","[0.7508098274328396, 0.011390853642659831]"
"[1.634328842163086, -0.0006634341552853584]","[0.9115901726003691, -0.012948990749657314]","[0.7227386695627168, 0.012285556594371956]"
"[1.6340663433074951, 0.005074489861726761]","[0.8868775667895276, 7.204311422429055e-05]","[0.7471887765179676, 0.00500244674750247]"
"[1.6302154064178467, 0.01148409117013216]","[0.8663753399930536, -0.010160354428910268]","[0.7638400664247931, 0.02164444559904243]"
"[1.62801992893219, 0.02658175863325596]","[0.9593534073610139, -0.015285200828038182]","[0.668666521571176, 0.04186695946129414]"
"[1.6358705759048462, 0.034458719193935394]","[0.9452312116663174, 0.0034518521116694775]","[0.6906393642385288, 0.031006867082265917]"
"[1.6451027393341064, 0.04030650109052658]","[0.8791265117554748, 0.001165079393971813]","[0.7659762275786316, 0.03914142169655477]"
"[1.6534595489501953, 0.04415500909090042]","[0.9086958044285487, 0.0023215219900228623]","[0.7447637445216466, 0.04183348710087756]"
"[1.6593319177627563, 0.04421032965183258]","[0.9021348379689357, 0.0003598627817143693]","[0.7571970797938207, 0.04385046687011821]"
"[1.6650302410125732, 0.025823190808296204]","[0.912068473093789, 0.008331974315264973]","[0.7529617679187842, 0.01749121649303123]"
"[1.666029930114746, -0.008821552619338036]","[0.8390255202635889, 0.018020134047219236]","[0.8270044098511572, -0.02684168666655727]"
"[1.6625397205352783, -0.053045082837343216]","[0.9899359005003332, 0.01641720477399205]","[0.6726038200349451, -0.06946228761133527]"
"[1.65890371799469, -0.09789039939641953]","[0.909430646219679, -0.014400696781418657]","[0.749473071775011, -0.08348970261500087]"
"[1.6565380096435547, -0.1278018206357956]","[0.927529520786432, -0.03133877563695391]","[0.7290084888571227, -0.09646304499884167]"
"[1.6518428325653076, -0.18759307265281677]","[0.922008214841099, -0.08325917090943243]","[0.7298346177242087, -0.10433390174338435]"
"[1.6483370065689087, -0.2324380874633789]","[0.8963598620419545, -0.09795685550595548]","[0.7519771445269542, -0.13448123195742342]"
"[1.644820213317871, -0.277281790971756]","[0.932430686024368, -0.1226313914153103]","[0.7123895272935031, -0.15465039955644566]"
"[1.6412311792373657, -0.3221149444580078]","[0.8494654233338511, -0.1499953553953397]","[0.7917657559035146, -0.1721195890626681]"
"[1.6377099752426147, -0.36697742342948914]","[0.8815305717744127, -0.14880749993741538]","[0.756179403468202, -0.21816992349207376]"
"[1.6341842412948608, -0.41180458664894104]","[0.8209400941792344, -0.20757437547872407]","[0.8132441471156264, -0.20423021117021697]"
"[1.6306358575820923, -0.45666107535362244]","[0.8677955586870381, -0.19932412538240651]","[0.7628402988950542, -0.2573369499712159]"
