"[-0.0011506585869938135, 1.2108904229535256e-05]","[-0.07898595304773384, 0.03207552381835651]","[0.07783529446074003, -0.032063414914126974]"
"[-0.02983068861067295, 0.00026501031243242323]","[-0.34938232168379935, 0.013249693794766721]","[0.3195516330731264, -0.012984683482334298]"
"[-0.08681003749370575, 0.00044592865742743015]","[-0.5982608177524268, 0.0504777975303876]","[0.511450780258721, -0.05003186887296017]"
"[-0.14678391814231873, 0.0008093745564110577]","[-0.32074181656048684, -0.0038035470470207397]","[0.1739578984181681, 0.0046129216034317974]"
"[-0.20676358044147491, 0.0011598889250308275]","[-0.3255116039790307, -0.013315863855213573]","[0.11874802353755576, 0.0144757527802444]"
"[-0.2667868733406067, 0.0015739271184429526]","[-0.36830830313069185, 0.009822405253954558]","[0.10152142979008516, -0.008248478135511605]"
"[-0.3267758786678314, 0.0019342260202392936]","[-0.3913819396847986, -0.04520511832431138]","[0.0646060610169672, 0.04713934434455067]"
"[-0.3867553472518921, 0.002315737074241042]","[-0.4481559507949648, -0.0025472954030218535]","[0.061400603543072696, 0.004863032477262896]"
"[-0.4467214047908783, 0.002671417547389865]","[-0.5352340944252476, 0.05718669985632216]","[0.08851268963436931, -0.054515282308932295]"
"[-0.5067154169082642, 0.0030190779361873865]","[-0.5552509550262598, -0.011361985289888864]","[0.0485355381179956, 0.014381063226076251]"
"[-0.5666909217834473, 0.003339644055813551]","[-0.5284719732763968, -0.0027829147704582576]","[-0.03821894850705043, 0.006122558826271808]"
"[-0.626682698726654, 0.003691865596920252]","[-0.6076214971991305, 0.004926584878477816]","[-0.019061201527523552, -0.0012347192815575642]"
"[-0.6867028474807739, 0.004034713841974735]","[-0.5960786600094375, 0.008561970729719957]","[-0.09062418747133638, -0.004527256887745221]"
"[-0.7466463446617126, 0.004338616970926523]","[-0.6511852891244537, 0.03897329022621631]","[-0.09546105553725892, -0.03463467325528979]"
"[-0.8066518902778625, 0.0046761902049183846]","[-0.6847511301462668, 0.017366684997887884]","[-0.12190076013159579, -0.0126904947929695]"
"[-0.8666120767593384, 0.005041369237005711]","[-0.700336586615881, 0.005282423921804211]","[-0.16627549014345733, -0.00024105468479850012]"
"[-0.9265981912612915, 0.0054017226211726665]","[-0.7158114388134005, 0.04058568529425221]","[-0.21078675244789102, -0.03518396267307954]"
"[-0.9865838885307312, 0.00572042865678668]","[-0.7846848288213393, 0.0008350171613474367]","[-0.20189905970939193, 0.0048854114954392435]"
"[-1.0465734004974365, 0.006050730589777231]","[-0.7951805997777064, 0.002481236465203292]","[-0.25139280071973014, 0.003569494124573939]"
"[-1.1065715551376343, 0.006429456174373627]","[-0.8322038099140708, 0.035752446044364714]","[-0.27436774522356344, -0.029322989869991087]"
"[-1.1665703058242798, 0.00677876640111208]","[-0.8409776054481612, -0.048471002929454686]","[-0.32559270037611854, 0.055249769330566766]"
"[-1.226535677909851, 0.007107443176209927]","[-0.8900193758579313, -0.018552482910712764]","[-0.33651630205191974, 0.02565992608692269]"
"[-1.2865264415740967, 0.007414891384541988]","[-0.8667150550117086, -0.019589107639164494]","[-0.41981138656238803, 0.027003999023706482]"
"[-1.3464934825897217, 0.007792060729116201]","[-0.9223131560693169, 0.01468522671592555]","[-0.4241803265204048, -0.006893165986809349]"
"[-1.406519889831543, 0.008124103769659996]","[-1.0529287907622413, 0.05484168467052599]","[-0.35359109906930164, -0.046717580900865995]"
"[-1.466471791267395, 0.008442559279501438]","[-1.0937305704330786, 0.06300357276866096]","[-0.3727412208343164, -0.054561013489159524]"
"[-1.5264688730239868, 0.008797509595751762]","[-1.0195414451420393, -0.012064425827627893]","[-0.5069274278819476, 0.020861935423379656]"
"[-1.5864388942718506, 0.009152660146355629]","[-1.113816179065085, 0.026619623969759046]","[-0.4726227152067657, -0.017466963823403417]"
"[-1.6385250091552734, 0.009597859345376492]","[-1.1238643589611885, -0.011870432078548848]","[-0.5146606501940849, 0.02146829142392534]"
"[-1.6611636877059937, 0.010142208077013493]","[-1.0939575880326158, -0.042306410700420544]","[-0.5672060996733779, 0.052448618777434036]"
"[-1.6771208047866821, 0.008722673170268536]","[-1.1460166700418561, -0.05796908244703833]","[-0.531104134744826, 0.06669175561730686]"
"[-1.6926145553588867, 0.0055259475484490395]","[-1.1679542655355728, -0.06703003782621378]","[-0.5246602898233139, 0.07255598537466282]"
"[-1.703190565109253, -0.000592961790971458]","[-1.2288825392651108, -0.016077810072465185]","[-0.4743080258441421, 0.015484848281493727]"
"[-1.7078758478164673, -0.010337873362004757]","[-1.147506998349109, 0.022956220966337287]","[-0.5603688494673582, -0.033294094328342044]"
"[-1.715944528579712, -0.017965514212846756]","[-1.2367181976943873, 0.0437050776662197]","[-0.4792263308853246, -0.061670591879066455]"
"[-1.7268232107162476, -0.021843262016773224]","[-1.1690728513018085, -0.025527460951287384]","[-0.5577503594144391, 0.00368419893451416]"
"[-1.7379772663116455, -0.023834817111492157]","[-1.3013287003717, 0.05343081855156528]","[-0.4366485659399455, -0.07726563566305744]"
"[-1.7464425563812256, -0.02435886487364769]","[-1.2385689818985406, 0.02604432492755395]","[-0.507873574482685, -0.05040318980120164]"
"[-1.7518298625946045, -0.011528990231454372]","[-1.3267194264973474, 0.041307904069985]","[-0.42511043609725707, -0.052836894301439376]"
"[-1.7487348318099976, 0.02567693218588829]","[-1.279251437855303, 0.04071000026952607]","[-0.4694833939546945, -0.01503306808363778]"
"[-1.7341899871826172, 0.07496001571416855]","[-1.2846068945033788, 0.013420916889395753]","[-0.44958309267923835, 0.06153909882477279]"
"[-1.7133102416992188, 0.1308043748140335]","[-1.232213878628396, -0.0036957562878787657]","[-0.4810963630708227, 0.13450013110191228]"
"[-1.6925665140151978, 0.1870902180671692]","[-1.1510656219672817, 0.013141873533977472]","[-0.5415008920479161, 0.17394834453319172]"
