"[0.11301654577255249, -1.2630008459091187]","[-0.022510271477693286, 0.05388307462273526]","[0.1355268172502458, -1.3168839205318539]"
"[-0.016594702377915382, -7.839745194360148e-06]","[-0.08771434335354997, 0.043070689492397035]","[0.07111964097563458, -0.043078529237591395]"
"[-0.07500258833169937, 6.372777716023847e-05]","[-0.6855229528072696, 0.031104813094093905]","[0.6105203644755702, -0.031041085316933666]"
"[-0.10500138998031616, 0.00015337776858359575]","[-0.12361776109218281, 0.0336689831978923]","[0.018616371111866648, -0.033515605429308704]"
"[-0.16496272385120392, 0.0003517469740472734]","[-0.16833562760246876, 0.026853339936384352]","[0.0033729037512648385, -0.02650159296233708]"
"[-0.194964200258255, 0.0004149939923081547]","[-0.2090166626549601, 0.022826022536316437]","[0.014052462396705101, -0.022411028544008282]"
"[-0.2548970580101013, 0.0005634346744045615]","[-0.23468296348951573, 0.034854654044715334]","[-0.02021409452058559, -0.03429121937031077]"
"[-0.2998764216899872, 0.0006633955636061728]","[-0.21954704596228702, -0.013713886924440519]","[-0.08032937572770016, 0.014377282488046692]"
"[-0.3448427617549896, 0.0007861071499064565]","[-0.2314527176145515, 0.025756179467567912]","[-0.11339004414043813, -0.024970072317661456]"
"[-0.3898441791534424, 0.0009027665364556015]","[-0.32375938659450887, 0.05469404607303094]","[-0.06608479255893351, -0.05379127953657534]"
"[-0.4348216652870178, 0.0010263689327985048]","[-0.3369829032502053, 0.04276367445074294]","[-0.09783876203681252, -0.04173730551794443]"
"[-0.4798000752925873, 0.0011404030956327915]","[-0.35826251734995834, 0.07534316481947904]","[-0.12153755794262894, -0.07420276172384625]"
"[-0.5247818231582642, 0.0012614106526598334]","[-0.3524700803238163, 0.04656324165221208]","[-0.17231174283444783, -0.04530183099955225]"
"[-0.5697667598724365, 0.0013805441558361053]","[-0.38208717898548034, 0.06641187836878543]","[-0.1876795808869562, -0.06503133421294932]"
"[-0.6147848963737488, 0.0015040294965729117]","[-0.4171953994420283, 0.0151452147913469]","[-0.19758949693172045, -0.013641185294773988]"
"[-0.6597393155097961, 0.0016067430842667818]","[-0.43709710369337584, 0.03236955275406352]","[-0.2226422118164203, -0.03076280966979674]"
