2023-01-18 16:54:30,554 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:30,762 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:30,998 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:31,290 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:31,542 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:31,846 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:32,088 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:32,353 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:32,600 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:32,846 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:33,120 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:33,362 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:33,638 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:33,854 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:34,076 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:34,344 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:34,581 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:34,874 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:35,120 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:35,369 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:35,638 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:35,871 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:36,156 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:36,434 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:36,719 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:36,996 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:37,220 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:37,530 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:37,752 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:37,988 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:38,210 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:38,454 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:38,719 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:38,940 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:39,208 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:39,499 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:39,777 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:39,998 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:40,221 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:40,506 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:40,786 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:41,068 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:41,290 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:41,627 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:42,007 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:42,290 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:42,739 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:43,026 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:43,384 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:43,722 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:44,145 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:44,473 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:44,878 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:45,210 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:45,628 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:46,041 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:46,346 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:46,770 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:47,113 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:47,587 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
