"[-0.0011512116761878133, 2.1075018594274297e-05]","[0.10529738105847089, -0.011838324334437818]","[-0.1064485927346587, 0.011859399353032093]"
"[-0.02985108271241188, 0.00021034599922131747]","[-0.5458408564037595, 0.005250255811403804]","[0.5159897736913476, -0.005039909812182487]"
"[-0.0919889360666275, 0.0003724564448930323]","[-0.919034494157275, 0.015917821413939527]","[0.8270455580906475, -0.015545364969046495]"
"[-0.1670054793357849, 0.0011356824543327093]","[-0.7140032906734672, 0.05384328726485586]","[0.5469978113376823, -0.052707604810523154]"
"[-0.24194291234016418, 0.0019852030090987682]","[-0.6864286364554717, 0.04900388774017521]","[0.4444857241153075, -0.04701868473107644]"
"[-0.3169386088848114, 0.0028662525583058596]","[-0.7505816736537994, 0.050756002304663636]","[0.43364306476898795, -0.047889749746357776]"
"[-0.3919190466403961, 0.003646544413641095]","[-0.7658390611239125, 0.042624224778179925]","[0.3739200144835164, -0.03897768036453883]"
"[-0.46692055463790894, 0.004463530145585537]","[-0.7883254685640265, 0.07371888494776424]","[0.3214049139261176, -0.0692553548021787]"
"[-0.541890025138855, 0.005316772498190403]","[-0.7812229476190296, 0.021035538725074042]","[0.23933292248017457, -0.01571876622688364]"
"[-0.6168746948242188, 0.00611733878031373]","[-0.8474938854607907, 0.030391218091634697]","[0.230619190636572, -0.024273879311320967]"
"[-0.6918342113494873, 0.006901479326188564]","[-0.8764909712018832, 0.03165639891310622]","[0.18465675985239594, -0.024754919586917654]"
"[-0.7668344378471375, 0.0077242604456841946]","[-0.9071071035402466, 0.0470702485145105]","[0.14027266569310914, -0.039345988068826304]"
"[-0.8418142199516296, 0.008530108258128166]","[-0.9352043626632374, 0.0441715444726075]","[0.09339014271160773, -0.035641436214479336]"
"[-0.9167863726615906, 0.009336670860648155]","[-0.9552395320515881, 0.05753295311327039]","[0.03845315938999749, -0.048196282252622236]"
"[-0.991771399974823, 0.010128569789230824]","[-0.9639786546801187, 0.03870826988430691]","[-0.027792745294704324, -0.028579700095076085]"
"[-1.066726803779602, 0.010923752561211586]","[-1.0048600917349395, 0.03861797451785542]","[-0.06186671204466254, -0.02769422195664383]"
"[-1.1417213678359985, 0.01174025610089302]","[-1.0462087955415265, 0.061881521286971136]","[-0.09551257229447208, -0.050141265186078116]"
"[-1.216675043106079, 0.012544171884655952]","[-1.0551305637257422, 0.033155569840825565]","[-0.1615444793803369, -0.020611397956169612]"
"[-1.2916687726974487, 0.013329602777957916]","[-1.0854727157734883, 0.056931164410666577]","[-0.20619605692396048, -0.04360156163270866]"
"[-1.3666409254074097, 0.014174777083098888]","[-1.1494009679360555, 0.08417589215263047]","[-0.21723995747135416, -0.07000111506953158]"
"[-1.4416099786758423, 0.014969567768275738]","[-1.144043474396819, 0.07438135112966002]","[-0.2975665042790232, -0.05941178336138428]"
"[-1.5166056156158447, 0.015765825286507607]","[-1.147696490007755, 0.06455699601194968]","[-0.36890912560808964, -0.048791170725442076]"
"[-1.5915656089782715, 0.01659489795565605]","[-1.2202486868537683, 0.07375639413684187]","[-0.3713169221245032, -0.05716149618118582]"
"[-1.6586759090423584, 0.01735987327992916]","[-1.2266098262638072, -0.002249095611897803]","[-0.4320660827785512, 0.019608968891826964]"
"[-1.6963926553726196, 0.017602693289518356]","[-1.2078289256648556, 0.02464210310522302]","[-0.48856372970776407, -0.0070394098157046635]"
"[-1.7273088693618774, 0.016619127243757248]","[-1.2715246383114274, 0.018767735410760204]","[-0.4557842310504501, -0.0021486081670029564]"
"[-1.7519842386245728, 0.014372753910720348]","[-1.2547849546042307, 0.047974508670210594]","[-0.4971992840203421, -0.033601754759490246]"
"[-1.7670505046844482, 0.01042857114225626]","[-1.2553504944597869, 0.018746283074276074]","[-0.5117000102246614, -0.008317711932019814]"
"[-1.7729370594024658, 0.0017676878487691283]","[-1.23532806104051, -0.019425407059797492]","[-0.5376089983619559, 0.02119309490856662]"
"[-1.7801412343978882, -0.006843202747404575]","[-1.2867462196593447, 0.02008921283714088]","[-0.4933950147385435, -0.026932415584545455]"
"[-1.7908779382705688, -0.011195960454642773]","[-1.268173270990094, 0.007822693501401296]","[-0.5227046672804749, -0.019018653956044067]"
"[-1.801302194595337, -0.01282753050327301]","[-1.267888196239456, 0.013764953790925785]","[-0.533413998355881, -0.026592484294198797]"
"[-1.8087774515151978, -0.01235256902873516]","[-1.3318513889419377, 0.056232470708498086]","[-0.4769260625732601, -0.06858503973723325]"
"[-1.8140321969985962, 0.0013411592226475477]","[-1.3013355370287547, 0.03651237324208575]","[-0.5126966599698415, -0.0351712140194382]"
"[-1.813735008239746, 0.04489394277334213]","[-1.2639370028692585, -0.0061773469115203455]","[-0.5497980053704876, 0.05107128968486248]"
"[-1.80181884765625, 0.1112004742026329]","[-1.2833386441496701, 0.041098189890254655]","[-0.5184802035065799, 0.07010228431237825]"
"[-1.7850288152694702, 0.18430782854557037]","[-1.294850094533191, 0.0748675594497566]","[-0.4901787207362791, 0.10944026909581378]"
"[-1.7686278820037842, 0.2575075030326843]","[-1.2554360757316017, 0.06285247019175295]","[-0.5131918062721825, 0.19465503284093139]"
"[-1.7522271871566772, 0.33065786957740784]","[-1.31581142052873, 0.14552340542091385]","[-0.43641576662794734, 0.18513446415649398]"
"[-1.7358747720718384, 0.403786838054657]","[-1.2185988420909277, 0.14891082843597048]","[-0.5172759299809107, 0.2548760096186865]"
"[-1.7194744348526, 0.476952463388443]","[-1.2356162048773771, 0.14634018319048153]","[-0.483858229975223, 0.33061228019796146]"
"[-1.7030664682388306, 0.5501205921173096]","[-1.2832148904518272, 0.2111058026551933]","[-0.4198515777870033, 0.3390147894621163]"
"[-1.686586618423462, 0.6232738494873047]","[-1.2955263551972203, 0.24687639571294373]","[-0.39106026322624166, 0.37639745377436096]"
"[-1.6701910495758057, 0.6964584589004517]","[-1.274379165356121, 0.22776557271216608]","[-0.3958118842196847, 0.4686928861882856]"
"[-1.6537835597991943, 0.7696216106414795]","[-1.2281054239937639, 0.2725002478901334]","[-0.42567813580543046, 0.4971213627513461]"
"[-1.637336015701294, 0.8427795171737671]","[-1.2282907613216516, 0.32513903674458855]","[-0.40904525437964234, 0.5176404804291785]"
"[-1.620882272720337, 0.9159259796142578]","[-1.2003727215804028, 0.31410121553310766]","[-0.42050955113993416, 0.6018247640811502]"
"[-1.6044509410858154, 0.9890962839126587]","[-1.2557015176987734, 0.36596640997700736]","[-0.34874942338704207, 0.6231298739356513]"
"[-1.5880318880081177, 1.0622508525848389]","[-1.20635762379931, 0.36042869161881363]","[-0.38167426420880757, 0.7018221609660252]"
"[-1.5715779066085815, 1.1354091167449951]","[-1.1937355818422457, 0.39362751677691143]","[-0.37784232476633584, 0.7417815999680837]"
"[-1.5551669597625732, 1.2086106538772583]","[-1.1714848710228485, 0.39705328943888374]","[-0.38368208873972476, 0.8115573644383746]"
"[-1.538730263710022, 1.2817937135696411]","[-1.169930314731405, 0.4524952212554587]","[-0.3687999489786169, 0.8292984923141824]"
"[-1.522255778312683, 1.354926347732544]","[-1.141525718247491, 0.42289287982057344]","[-0.38073006006519217, 0.9320334679119705]"
"[-1.5058339834213257, 1.4280822277069092]","[-1.1244106232957851, 0.47479532849558803]","[-0.38142336012554057, 0.9532868992113211]"
"[-1.48934805393219, 1.5012620687484741]","[-1.2279169167362205, 0.5475880322360411]","[-0.26143113719596944, 0.953674036512433]"
"[-1.4729613065719604, 1.5743790864944458]","[-1.1453445628652077, 0.4768063882740343]","[-0.32761674370675276, 1.0975726982204115]"
"[-1.458463191986084, 1.6399128437042236]","[-1.1348216822233606, 0.551106301266892]","[-0.32364150976272343, 1.0888065424373317]"
"[-1.450687289237976, 1.676692008972168]","[-1.2104159101297935, 0.5766057490580483]","[-0.24027137910818253, 1.1000862599141197]"
"[-1.4452556371688843, 1.7069575786590576]","[-1.1153187490747558, 0.6046908866242313]","[-0.32993688809412847, 1.1022666920348263]"
"[-1.4423773288726807, 1.7316792011260986]","[-1.2219620150189774, 0.6318500292135885]","[-0.22041531385370328, 1.0998291719125102]"
"[-1.4432308673858643, 1.7473134994506836]","[-1.2201852404462432, 0.7104042714491035]","[-0.22304562693962104, 1.0369092280015801]"
"[-1.4497448205947876, 1.7557703256607056]","[-1.2364550542382582, 0.6099347869852234]","[-0.2132897663565294, 1.1458355386754822]"
"[-1.455564022064209, 1.7652599811553955]","[-1.159490780859375, 0.6497101453211482]","[-0.2960732412048339, 1.1155498358342473]"
"[-1.4583423137664795, 1.7760257720947266]","[-1.1779927470495164, 0.6452513728115661]","[-0.2803495667169631, 1.1307743992831605]"
"[-1.4586660861968994, 1.7870419025421143]","[-1.1700996058985744, 0.592438049751765]","[-0.288566480298325, 1.1946038527903493]"
"[-1.4570797681808472, 1.7954285144805908]","[-1.2336353524116785, 0.6871095100190874]","[-0.22344441576916863, 1.1083190044615034]"
"[-1.4431818723678589, 1.7984192371368408]","[-1.1706392912948507, 0.6228833228242263]","[-0.2725425810730082, 1.1755359143126145]"
"[-1.4030135869979858, 1.7893352508544922]","[-1.1637421117850613, 0.6667733924408197]","[-0.23927147521292458, 1.1225618584136725]"
"[-1.346892237663269, 1.763830542564392]","[-1.155032789058823, 0.6210661633839343]","[-0.19185944860444604, 1.1427643791804578]"
"[-1.2824811935424805, 1.7280973196029663]","[-1.0981775661705218, 0.636349432809302]","[-0.1843036273719587, 1.0917478867936643]"
